split,env,section,platform,conf_count,scene_min,scene_max,range_gap_count,complete_scene_count,complete_scene_rate,invalid_file_count
train,Home,MasterBedroom,bed_01,5001,0,5000,0,5001,1.0,1
train,Home,MasterBedroom,beside_table_01,5001,0,5000,0,5001,1.0,1
train,Home,MasterBedroom,desk_and_chair_01,5001,0,5000,0,5001,1.0,1
train,Home,MasterBedroom,floor_01,5001,0,5000,0,5001,1.0,1
train,Home,MasterBedroom,sideboard_01,5001,0,5000,0,3469,0.6936612677464508,1
train,Home,MasterBedroom,vanity_01,5001,0,5000,0,5001,1.0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,3751,0,3750,0,3751,1.0,1
train,Logistic_site,General_LogisticSite,conveyor_track_02,3751,0,3750,0,2211,0.5894428152492669,1
train,Logistic_site,General_LogisticSite,rack_long_A1_01,3751,0,3750,0,997,0.2657957877899227,1
train,Logistic_site,General_LogisticSite,rack_small_A5_01,3751,0,3750,0,878,0.23407091442282058,1
train,Logistic_site,General_LogisticSite,rack_small_A5_02,3751,0,3750,0,517,0.1378299120234604,1
train,Logistic_site,General_LogisticSite,rack_small_A7_01,3751,0,3750,0,515,0.13729672087443348,1
train,Logistic_site,General_LogisticSite,solid_top_rackable_pallet_01,3751,0,3750,0,34,0.009064249533457745,1
train,Logistic_site,General_LogisticSite,two_tier_rolling_cart_01,3751,0,3750,0,46,0.012263396427619302,1
train,Manufactory,Seongju_Melon_Processing_Facility,coating_machine_01,3751,0,3750,0,0,0.0,1
train,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_01,3751,0,3750,0,0,0.0,1
train,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_02,3751,0,3750,0,0,0.0,1
train,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,3751,0,3750,0,0,0.0,1
train,Manufactory,Seongju_Melon_Processing_Facility,slide_chute_01,3751,0,3750,0,0,0.0,1
train,Manufactory,Seongju_Melon_Processing_Facility,sorter_01,3751,0,3750,0,0,0.0,1
train,Manufactory,Seongju_Melon_Processing_Facility,stainless_steel_work_table_01,3751,0,3750,0,0,0.0,1
train,Manufactory,Seongju_Melon_Processing_Facility,thor_table_01,3751,0,3750,0,0,0.0,1
validation,Home,MasterBedroom,bed_01,281,0,280,0,0,0.0,0
validation,Home,MasterBedroom,beside_table_01,280,0,280,1,0,0.0,0
validation,Home,MasterBedroom,desk_and_chair_01,281,0,280,0,0,0.0,0
validation,Home,MasterBedroom,floor_01,281,0,280,0,0,0.0,0
validation,Home,MasterBedroom,sideboard_01,281,0,280,0,0,0.0,0
validation,Home,MasterBedroom,vanity_01,281,0,280,0,0,0.0,0
validation,Logistic_site,General_LogisticSite,conveyor_track_01,211,0,210,0,0,0.0,0
validation,Logistic_site,General_LogisticSite,conveyor_track_02,211,0,210,0,0,0.0,0
validation,Logistic_site,General_LogisticSite,rack_long_A1_01,211,0,210,0,0,0.0,0
validation,Logistic_site,General_LogisticSite,rack_small_A5_01,211,0,210,0,0,0.0,0
validation,Logistic_site,General_LogisticSite,rack_small_A5_02,211,0,210,0,0,0.0,0
validation,Logistic_site,General_LogisticSite,rack_small_A7_01,211,0,210,0,0,0.0,0
validation,Logistic_site,General_LogisticSite,solid_top_rackable_pallet_01,211,0,210,0,0,0.0,0
validation,Logistic_site,General_LogisticSite,two_tier_rolling_cart_01,211,0,210,0,0,0.0,0
validation,Manufactory,Seongju_Melon_Processing_Facility,coating_machine_01,211,0,210,0,0,0.0,0
validation,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_01,211,0,210,0,0,0.0,0
validation,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_02,211,0,210,0,0,0.0,0
validation,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,211,0,210,0,0,0.0,0
validation,Manufactory,Seongju_Melon_Processing_Facility,slide_chute_01,211,0,210,0,0,0.0,0
validation,Manufactory,Seongju_Melon_Processing_Facility,sorter_01,211,0,210,0,0,0.0,0
validation,Manufactory,Seongju_Melon_Processing_Facility,stainless_steel_work_table_01,211,0,210,0,0,0.0,0
validation,Manufactory,Seongju_Melon_Processing_Facility,thor_table_01,211,0,210,0,0,0.0,0
test,Home,MasterBedroom,bed_01,281,0,280,0,0,0.0,0
test,Home,MasterBedroom,beside_table_01,281,0,280,0,0,0.0,0
test,Home,MasterBedroom,desk_and_chair_01,281,0,280,0,0,0.0,0
test,Home,MasterBedroom,floor_01,281,0,280,0,0,0.0,0
test,Home,MasterBedroom,sideboard_01,281,0,280,0,0,0.0,0
test,Home,MasterBedroom,vanity_01,281,0,280,0,0,0.0,0
test,Logistic_site,General_LogisticSite,conveyor_track_01,211,0,210,0,0,0.0,0
test,Logistic_site,General_LogisticSite,conveyor_track_02,211,0,210,0,0,0.0,0
test,Logistic_site,General_LogisticSite,rack_long_A1_01,211,0,210,0,0,0.0,0
test,Logistic_site,General_LogisticSite,rack_small_A5_01,211,0,210,0,0,0.0,0
test,Logistic_site,General_LogisticSite,rack_small_A5_02,211,0,210,0,0,0.0,0
test,Logistic_site,General_LogisticSite,rack_small_A7_01,211,0,210,0,0,0.0,0
test,Logistic_site,General_LogisticSite,solid_top_rackable_pallet_01,211,0,210,0,0,0.0,0
test,Logistic_site,General_LogisticSite,two_tier_rolling_cart_01,211,0,210,0,0,0.0,0
test,Manufactory,Seongju_Melon_Processing_Facility,coating_machine_01,211,0,210,0,0,0.0,0
test,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_01,211,0,210,0,0,0.0,0
test,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_02,211,0,210,0,0,0.0,0
test,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,211,0,210,0,0,0.0,0
test,Manufactory,Seongju_Melon_Processing_Facility,slide_chute_01,211,0,210,0,0,0.0,0
test,Manufactory,Seongju_Melon_Processing_Facility,sorter_01,211,0,210,0,0,0.0,0
test,Manufactory,Seongju_Melon_Processing_Facility,stainless_steel_work_table_01,211,0,210,0,0,0.0,0
test,Manufactory,Seongju_Melon_Processing_Facility,thor_table_01,211,0,210,0,0,0.0,0
