uid,split,root,env,section,platform,scene_id,scene_name,camera,relative_scene,files_complete_at_sampling
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/1261|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,1261,1261,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/1261,True
train|Home/MasterBedroom/bed_01/4515|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,bed_01,4515,4515,top_view_camera,Home/MasterBedroom/bed_01/4515,True
train|Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/0512|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,coating_machine_01,512,0512,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/0512,True
train|Logistic_site/General_LogisticSite/conveyor_track_02/1005|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,conveyor_track_02,1005,1005,side_view_camera,Logistic_site/General_LogisticSite/conveyor_track_02/1005,True
train|Logistic_site/General_LogisticSite/rack_long_A1_01/0440|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_long_A1_01,440,0440,side_view_camera,Logistic_site/General_LogisticSite/rack_long_A1_01/0440,True
train|Home/MasterBedroom/beside_table_01/4775|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,beside_table_01,4775,4775,top_view_camera,Home/MasterBedroom/beside_table_01/4775,True
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/2621|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,2621,2621,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/2621,True
train|Logistic_site/General_LogisticSite/conveyor_track_01/0492|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,conveyor_track_01,492,0492,top_view_camera,Logistic_site/General_LogisticSite/conveyor_track_01/0492,True
train|Logistic_site/General_LogisticSite/conveyor_track_01/2921|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,conveyor_track_01,2921,2921,side_view_camera,Logistic_site/General_LogisticSite/conveyor_track_01/2921,True
train|Logistic_site/General_LogisticSite/conveyor_track_01/2697|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,conveyor_track_01,2697,2697,side_view_camera,Logistic_site/General_LogisticSite/conveyor_track_01/2697,True
train|Logistic_site/General_LogisticSite/rack_small_A5_02/0564|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A5_02,564,0564,side_view_camera,Logistic_site/General_LogisticSite/rack_small_A5_02/0564,True
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/3599|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,3599,3599,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/3599,True
train|Logistic_site/General_LogisticSite/solid_top_rackable_pallet_01/1786|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,solid_top_rackable_pallet_01,1786,1786,side_view_camera,Logistic_site/General_LogisticSite/solid_top_rackable_pallet_01/1786,True
train|Logistic_site/General_LogisticSite/rack_small_A7_01/0609|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A7_01,609,0609,side_view_camera,Logistic_site/General_LogisticSite/rack_small_A7_01/0609,True
train|Home/MasterBedroom/beside_table_01/2789|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,beside_table_01,2789,2789,side_view_camera,Home/MasterBedroom/beside_table_01/2789,True
train|Logistic_site/General_LogisticSite/conveyor_track_01/2912|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,conveyor_track_01,2912,2912,side_view_camera,Logistic_site/General_LogisticSite/conveyor_track_01/2912,True
train|Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_01/2256|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_01,2256,2256,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_01/2256,True
train|Manufactory/Seongju_Melon_Processing_Facility/sorter_01/2563|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,sorter_01,2563,2563,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/sorter_01/2563,True
train|Home/MasterBedroom/sideboard_01/0787|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,sideboard_01,787,0787,side_view_camera,Home/MasterBedroom/sideboard_01/0787,True
train|Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/2923|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,coating_machine_01,2923,2923,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/2923,True
train|Home/MasterBedroom/bed_01/0998|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,bed_01,998,0998,side_view_camera,Home/MasterBedroom/bed_01/0998,True
train|Logistic_site/General_LogisticSite/rack_small_A5_01/0036|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A5_01,36,0036,top_view_camera,Logistic_site/General_LogisticSite/rack_small_A5_01/0036,True
train|Logistic_site/General_LogisticSite/rack_small_A5_02/0292|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A5_02,292,0292,side_view_camera,Logistic_site/General_LogisticSite/rack_small_A5_02/0292,True
train|Logistic_site/General_LogisticSite/conveyor_track_01/0808|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,conveyor_track_01,808,0808,top_view_camera,Logistic_site/General_LogisticSite/conveyor_track_01/0808,True
train|Logistic_site/General_LogisticSite/rack_small_A5_02/3287|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A5_02,3287,3287,top_view_camera,Logistic_site/General_LogisticSite/rack_small_A5_02/3287,True
train|Logistic_site/General_LogisticSite/rack_small_A5_02/0849|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A5_02,849,0849,side_view_camera,Logistic_site/General_LogisticSite/rack_small_A5_02/0849,True
train|Logistic_site/General_LogisticSite/conveyor_track_01/1911|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,conveyor_track_01,1911,1911,top_view_camera,Logistic_site/General_LogisticSite/conveyor_track_01/1911,True
train|Home/MasterBedroom/desk_and_chair_01/3130|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,desk_and_chair_01,3130,3130,side_view_camera,Home/MasterBedroom/desk_and_chair_01/3130,True
train|Logistic_site/General_LogisticSite/rack_small_A5_02/2150|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A5_02,2150,2150,side_view_camera,Logistic_site/General_LogisticSite/rack_small_A5_02/2150,True
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/2380|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,2380,2380,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/2380,True
train|Home/MasterBedroom/vanity_01/3465|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,vanity_01,3465,3465,side_view_camera,Home/MasterBedroom/vanity_01/3465,True
train|Home/MasterBedroom/bed_01/3959|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,bed_01,3959,3959,top_view_camera,Home/MasterBedroom/bed_01/3959,True
train|Logistic_site/General_LogisticSite/rack_small_A7_01/2537|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A7_01,2537,2537,side_view_camera,Logistic_site/General_LogisticSite/rack_small_A7_01/2537,True
train|Home/MasterBedroom/sideboard_01/4702|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,sideboard_01,4702,4702,side_view_camera,Home/MasterBedroom/sideboard_01/4702,True
train|Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/2838|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,stainless_steel_work_table_01,2838,2838,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/2838,True
train|Home/MasterBedroom/bed_01/4424|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,bed_01,4424,4424,side_view_camera,Home/MasterBedroom/bed_01/4424,True
train|Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/3696|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,stainless_steel_work_table_01,3696,3696,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/3696,True
train|Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_02/2812|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_02,2812,2812,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_02/2812,True
train|Home/MasterBedroom/floor_01/3379|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,floor_01,3379,3379,side_view_camera,Home/MasterBedroom/floor_01/3379,True
train|Logistic_site/General_LogisticSite/rack_small_A5_01/3731|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A5_01,3731,3731,side_view_camera,Logistic_site/General_LogisticSite/rack_small_A5_01/3731,True
train|Manufactory/Seongju_Melon_Processing_Facility/slide_chute_01/1876|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,slide_chute_01,1876,1876,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/slide_chute_01/1876,True
train|Logistic_site/General_LogisticSite/conveyor_track_02/1921|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,conveyor_track_02,1921,1921,side_view_camera,Logistic_site/General_LogisticSite/conveyor_track_02/1921,True
train|Logistic_site/General_LogisticSite/rack_small_A7_01/1526|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A7_01,1526,1526,top_view_camera,Logistic_site/General_LogisticSite/rack_small_A7_01/1526,True
train|Logistic_site/General_LogisticSite/rack_long_A1_01/2000|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_long_A1_01,2000,2000,side_view_camera,Logistic_site/General_LogisticSite/rack_long_A1_01/2000,True
train|Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/2182|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,stainless_steel_work_table_01,2182,2182,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/2182,True
train|Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_01/3094|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_01,3094,3094,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_01/3094,True
train|Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/2550|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,coating_machine_01,2550,2550,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/2550,True
train|Logistic_site/General_LogisticSite/two_tier_rolling_cart_01/2034|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,two_tier_rolling_cart_01,2034,2034,side_view_camera,Logistic_site/General_LogisticSite/two_tier_rolling_cart_01/2034,True
train|Manufactory/Seongju_Melon_Processing_Facility/thor_table_01/3237|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,thor_table_01,3237,3237,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/thor_table_01/3237,True
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/3067|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,3067,3067,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/3067,True
train|Home/MasterBedroom/bed_01/0521|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,bed_01,521,0521,side_view_camera,Home/MasterBedroom/bed_01/0521,True
train|Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/2307|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,coating_machine_01,2307,2307,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/2307,True
train|Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_02/2051|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_02,2051,2051,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_02/2051,True
train|Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/2566|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,stainless_steel_work_table_01,2566,2566,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/2566,True
train|Logistic_site/General_LogisticSite/rack_small_A5_01/1331|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A5_01,1331,1331,side_view_camera,Logistic_site/General_LogisticSite/rack_small_A5_01/1331,True
train|Manufactory/Seongju_Melon_Processing_Facility/sorter_01/1549|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,sorter_01,1549,1549,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/sorter_01/1549,True
train|Home/MasterBedroom/beside_table_01/0739|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,beside_table_01,739,0739,side_view_camera,Home/MasterBedroom/beside_table_01/0739,True
train|Manufactory/Seongju_Melon_Processing_Facility/thor_table_01/1766|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,thor_table_01,1766,1766,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/thor_table_01/1766,True
train|Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_01/2215|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_01,2215,2215,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_01/2215,True
train|Home/MasterBedroom/sideboard_01/2738|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,sideboard_01,2738,2738,top_view_camera,Home/MasterBedroom/sideboard_01/2738,True
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/0748|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,748,0748,top_view_camera,Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/0748,True
train|Logistic_site/General_LogisticSite/rack_small_A5_02/2166|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Logistic_site,General_LogisticSite,rack_small_A5_02,2166,2166,top_view_camera,Logistic_site/General_LogisticSite/rack_small_A5_02/2166,True
train|Home/MasterBedroom/sideboard_01/1131|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,sideboard_01,1131,1131,side_view_camera,Home/MasterBedroom/sideboard_01/1131,True
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/0278|side_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,278,0278,side_view_camera,Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/0278,True
train|Home/MasterBedroom/desk_and_chair_01/2086|top_view_camera,train,/nas/Dataset/Dataset_2026/dataset_v2,Home,MasterBedroom,desk_and_chair_01,2086,2086,top_view_camera,Home/MasterBedroom/desk_and_chair_01/2086,True
