uid,split,env,section,platform,scene_name,camera,decision,issue_type,note,reviewer,updated_at_utc
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/1261|top_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,1261,top_view_camera,pending,,,,
train|Home/MasterBedroom/bed_01/4515|top_view_camera,train,Home,MasterBedroom,bed_01,4515,top_view_camera,pending,,,,
train|Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/0512|top_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,coating_machine_01,0512,top_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/conveyor_track_02/1005|side_view_camera,train,Logistic_site,General_LogisticSite,conveyor_track_02,1005,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/rack_long_A1_01/0440|side_view_camera,train,Logistic_site,General_LogisticSite,rack_long_A1_01,0440,side_view_camera,pending,,,,
train|Home/MasterBedroom/beside_table_01/4775|top_view_camera,train,Home,MasterBedroom,beside_table_01,4775,top_view_camera,pending,,,,
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/2621|top_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,2621,top_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/conveyor_track_01/0492|top_view_camera,train,Logistic_site,General_LogisticSite,conveyor_track_01,0492,top_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/conveyor_track_01/2921|side_view_camera,train,Logistic_site,General_LogisticSite,conveyor_track_01,2921,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/conveyor_track_01/2697|side_view_camera,train,Logistic_site,General_LogisticSite,conveyor_track_01,2697,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/rack_small_A5_02/0564|side_view_camera,train,Logistic_site,General_LogisticSite,rack_small_A5_02,0564,side_view_camera,pending,,,,
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/3599|side_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,3599,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/solid_top_rackable_pallet_01/1786|side_view_camera,train,Logistic_site,General_LogisticSite,solid_top_rackable_pallet_01,1786,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/rack_small_A7_01/0609|side_view_camera,train,Logistic_site,General_LogisticSite,rack_small_A7_01,0609,side_view_camera,pending,,,,
train|Home/MasterBedroom/beside_table_01/2789|side_view_camera,train,Home,MasterBedroom,beside_table_01,2789,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/conveyor_track_01/2912|side_view_camera,train,Logistic_site,General_LogisticSite,conveyor_track_01,2912,side_view_camera,pending,,,,
train|Manufactory/Seongju_Melon_Processing_Facility/green_conveyor_01/2256|side_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,green_conveyor_01,2256,side_view_camera,pending,,,,
train|Manufactory/Seongju_Melon_Processing_Facility/sorter_01/2563|side_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,sorter_01,2563,side_view_camera,pending,,,,
train|Home/MasterBedroom/sideboard_01/0787|side_view_camera,train,Home,MasterBedroom,sideboard_01,0787,side_view_camera,pending,,,,
train|Manufactory/Seongju_Melon_Processing_Facility/coating_machine_01/2923|top_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,coating_machine_01,2923,top_view_camera,pending,,,,
train|Home/MasterBedroom/bed_01/0998|side_view_camera,train,Home,MasterBedroom,bed_01,0998,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/rack_small_A5_01/0036|top_view_camera,train,Logistic_site,General_LogisticSite,rack_small_A5_01,0036,top_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/rack_small_A5_02/0292|side_view_camera,train,Logistic_site,General_LogisticSite,rack_small_A5_02,0292,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/conveyor_track_01/0808|top_view_camera,train,Logistic_site,General_LogisticSite,conveyor_track_01,0808,top_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/rack_small_A5_02/3287|top_view_camera,train,Logistic_site,General_LogisticSite,rack_small_A5_02,3287,top_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/rack_small_A5_02/0849|side_view_camera,train,Logistic_site,General_LogisticSite,rack_small_A5_02,0849,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/conveyor_track_01/1911|top_view_camera,train,Logistic_site,General_LogisticSite,conveyor_track_01,1911,top_view_camera,pending,,,,
train|Home/MasterBedroom/desk_and_chair_01/3130|side_view_camera,train,Home,MasterBedroom,desk_and_chair_01,3130,side_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/rack_small_A5_02/2150|side_view_camera,train,Logistic_site,General_LogisticSite,rack_small_A5_02,2150,side_view_camera,pending,,,,
train|Manufactory/Seongju_Melon_Processing_Facility/packing_table_01/2380|top_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,packing_table_01,2380,top_view_camera,pending,,,,
train|Home/MasterBedroom/vanity_01/3465|side_view_camera,train,Home,MasterBedroom,vanity_01,3465,side_view_camera,pending,,,,
train|Home/MasterBedroom/bed_01/3959|top_view_camera,train,Home,MasterBedroom,bed_01,3959,top_view_camera,pending,,,,
train|Logistic_site/General_LogisticSite/rack_small_A7_01/2537|side_view_camera,train,Logistic_site,General_LogisticSite,rack_small_A7_01,2537,side_view_camera,pending,,,,
train|Home/MasterBedroom/sideboard_01/4702|side_view_camera,train,Home,MasterBedroom,sideboard_01,4702,side_view_camera,pending,,,,
train|Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/2838|side_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,stainless_steel_work_table_01,2838,side_view_camera,pending,,,,
train|Home/MasterBedroom/bed_01/4424|side_view_camera,train,Home,MasterBedroom,bed_01,4424,side_view_camera,pending,,,,
train|Manufactory/Seongju_Melon_Processing_Facility/stainless_steel_work_table_01/3696|top_view_camera,train,Manufactory,Seongju_Melon_Processing_Facility,stainless_steel_work_table_01,3696,top_view_camera,pending,,,,
